時間戳記,  Partner  ,Pet,Bad habit,MBTI(E/I),MBTI(N/S),MBTI(T/F),MBTI(J/P),Gender,Height,Accessories
2025/8/13 下午 5:36:35,Single,Don't have,Smoker,Introversion(I),Intuition(N),Thinking(T),Judging(J),Male,<=170cm,Wear glasses
2025/8/13 下午 5:39:31,Single,Don't have,Not,Introversion(I),Intuition(N),Thinking(T),Perceiving(P),Male,<=170cm,Wear glasses
